id,text
11,"Your life is a countdown ever since you're born. This is your life and it's ending one minute at a time. It's just money, charge it or sell a kidney or forgo college. You surely have four hours to spare. Con your old-guard boss with aviator glasses in a polyester suit to let you off an hour or two early. Everyone has defining moments in their lives. Birthdays. Trips. Graduations. Weddings. Births. Deaths. Break-ups. We all have things that help shape who we are as an individual. We all have experiences that are out of this world and make you sit back and just think. Alinea is one of those experiences. But it's so powerful because it evokes those of your past, basically everything, or at least a lot, and brings it to the present. I recalled memories of my childhood in Antioch, Illinois at my grandmother's cottage. I recalled summers and late nights at my childhood home. I recalled a trip up the coast of California I did with my family in 2003. I recalled cakes and desserts I ate as a kid. I recalled previous meals and dining experiences. I was so pleasantly delighted. I wasn't overwhelmed, although I could see why you would be. I laughed. I smiled. I got a little nervous. I don't want to elaborate too much on courses, atmosphere, or service, except for to say that it's all essentially perfect. You will not ""love"" every course, but most will stand out to you. Classics like hot potato cold potato, and black truffle explosion will surely stand out, and seasonal touches like the tomato dish will certainly be a highlight. There might be one you don't like. I didn't like the fishbowl course. But I wouldn't change it because it reminded me one time of eating a hot dog as a kid and hating it (little did I know I'd go on to consume ten thousand hot dogs at Hot Doug's about 15 years later). All I have to say of the atmosphere...I was freaked out, delighted, oh, and surprised by the entryway. Amuse-bouche included. The waitstaff is friendly, unpretentious, helpful, funny, and all around amazing. You'll laugh with them, they'll joke, they'll instruct you, they'll help you determine wines or beverages, and if you're lucky, they'll take you to the kitchen afterwords. The essence of Alinea and the finale, is the dessert. Do not ignore. Pay attention. If you're lucky (I was) Chef Achatz will prepare it for you himself. I feel ridiculous for ever saying anything was #1 in the past. This fucks everything up, this defines everything, breaks rules, sets new standards, and all around marks a time in history in your life. The aftermath will overwhelm and delight you and make you speechless. This is a metaphorical acid trip. This is what living is... This is Alinea. I'll probably never sit on the hallway of my condo building floor and purchase tickets for a restaurant again. I love you, Alinea. I really, really do. You are a part of me forever."
12,"Lots of complaints about how difficult it is to get in and I get it, its hard. But I can promise you that it is worth it. This is dining as performance art. And that is not to say that the food takes a backseat to the show. The theatricality of the presentations perfectly honors the beauty of the meal. To go over the details would be to give away too many surprises, but we had a fantastic time. You are treated like a VIP from the moment you walk up to the unmarked door. But this VIP treatment also has a wonderful comfortableness about it. It doesn't feel stuffy. We ended up chatting with the table next to us because it was just too fun. You get the sense that they are encouraging the playfulness to go along with the fun they obviously had coming up with the amazing experience. Do whatever you have to to get in here. It's a meal and and experience that you won't soon forget."
13,"1st I will say I'm not a foodie but I enjoy dining w foodies. The service was impeccable. The presentation of food was truly marvelous. I am allergic to all seafood & fish. My friend is a vegetarian. They prepared special menus for both. Now to the food. Some courses were delicious others were ok. Everything was too small. Even if u liked it was gone in 3 bites. Even though there were so many courses we left hungry & went out afterwards. 2 of my friends are foodies & have been to very elite restaurants. Also, I do not have a need to be stuffed after eating out, but I do want to be satisfied. I was neither which was disappointing considering the price tag. The atmosphere was quiet. Was good girls night out. Dessert was huge disappointment. Dippin dots spread all over table. Price in my opinion not worth it. The biggest irritation was the champaign @ beginning of meal was brought out though we did not request it. I assumed it was complimentary. However it turned out to be $100 each. I only drank part of mine had I known definitely would have finished. Overall had a good evening. Glad I went but would not go again. If you don't mind paying $350 (w/o wine pairings) for 1 meal then consider checking out."
14,"Today marks one year since my dinner at Alinea. It was the finest dining experience of my life and it lived up to all of my lofty expectations. In hindsight, it is not the culinary party tricks or the use of technology that still lingers in the forefront of my mind (although each innovative technique employed delighted me and served to advance each dish). My memories fall back on the bright, harmonious flavors and the impeccable (at at times, playful) service. To borrow from Michelin's own rubric, Alinea provided me ""exceptional cuisine, worth a special journey."" So much so that I I cannot imagine another trip to Chicago without partaking of what ever joys that Achatz may have in store."
15,"In my four years as a member of Yelp!, I've written a grand total of two - count 'em, TWO - restaurant reviews. As much as I consider myself a foodie, I'm just not big on writing about food. And even though I've had the pleasure of ""collecting"" over 20 Michelin stars from dining standards like Wolfgang Puck's Spago to bucket-list restaurants like Thomas Keller's The French Laundry and Per Se over the past few years, I've never really felt compelled to write a review about any of them. Then I dined at Alinea, Grant Achatz's Michelin three-starred restaurant in Chicago at the forefront of American molecular gastronomy. FOOD: First things first: at Alinea, unlike the aforementioned The French Laundry and Per Se, food is as much about spectacle as it is about taste. The plating and presentation of the dishes here were by far the most creative I've ever experienced. A few were gimmicky (e.g. four pieces of seafood entangled in seaweed atop a giant piece of driftwood), but most were functional - and all were extremely fun, especially the green apple balloon and the ""cracked"" white chocolate egg. Now if you're worried that Chef Achatz is all style and no substance - as I was - let me reassure you: some of his dishes were among the best I've ever eaten. The aforementioned ""four pieces of seafood"" were the best bites of crab, lobster, and clam I've ever had, the corn dish was out of this world, and you can't go wrong with two of Chef Achatz's signature dishes: ""Hot Potato, Cold Potato"" and ""Black Truffle Explosion."" My sister and I also went to town on the final dessert, the ""cracked"" white chocolate egg that covered the entire table, and finished the entire thing, which was no easy feat considering it was the 19th and final course - and also the largest. SERVICE: Like any Michelin-starred restaurant, the service here is top-notch - dishes always arrived with razor-like synchronicity, every course was explained thoroughly, crumbs were always brushed away, and my wine glass was never left empty. If I have one complaint, it's that I felt the service here was a bit more relaxed than what I've experienced at Thomas Keller's restaurants or at Joel Robuchon's three Tokyo establishments. The servers were always professional, but they had a more casual attitude than what I'm used to at restaurants of this caliber. Some people don't like the ""stuffy"" atmosphere of fine dining restaurants, but if I'm gonna pay an arm and a leg for a meal fit for a king, I don't mind being treated like one. AMBIANCE: Other than the darkened entrance hall with its neon outlines and grassy walkway, I was not particularly impressed by the decor of the restaurant - it's mainly black and white with accent lighting in various shades of neon. But I think that's kind of the point. Each of the food presentations here is like its own work of art, so the restaurant itself is like the blank canvas upon which these works of art are presented. Nowhere was this more obvious than during the ""cracked"" white chocolate egg dessert course, which utilized the entire table - covered with a latex tablecloth, of course - as a canvas. I will say, though, that the noise level in the restaurant was a bit on the louder end, which again created a more casual atmosphere than what I'm used to at Michelin-starred restaurants. VERDICT: I'm not an easily impressed diner, and I don't like writing food reviews. But Alinea surpassed all of my expectations and then some, and my dining experience here prompted me to do the unthinkable: to write a review on Yelp!. And that's just it - you don't just have dinner at Alinea; you have a DINING EXPERIENCE. One that I will never forget."
16,"I had wanted to visit Alinea since 2007, but was never organized enough to make a reservation and it was always going to happen for a perpetually unnamed ""special occasion"". Then, last week, they switched to a ticketing system a-la 'Next', and I happened to be lucky (and F5-happy) enough get a prime time Friday night table, just a week later. Spoiler alert: if you're planning on going and like surprises, stop reading here (actually, stop reading these reviews in general) and just go. I'm not even going to attempt to describe all of the dishes from last night's meal, but some highlights: Walking through the front door into a shrinking corridor, to be greeted with a glass of lemonade, drunk while walking over the carpeting of fresh turf to the sound of a wind chime. Watching Grant Achatz inspecting dishes leaving the kitchen, and then later, serving a masterpiece of a dessert directly onto the table next to ours. Eating a chunk of tempura-fried fruit and brie, served on a burning cinnamon stick skewer. The black truffle explosion, so flavorful I think it may have literally permeated the flesh of my mouth. I can still taste truffles the next day. Wondering how long I should wait before I see a doctor about it. Being served three small cuts of lamb... with a tray of 60 different beautiful, weird accompaniments to choose from. Sucking helium from an edible apple-flavored balloon. Getting apple-flavored balloon goo all over my face. Then making a loud and borderline inappropriate ""that's what she said"" joke, in squeaky helium voice. The wine pairings. Do it. The front of house staff, all flawlessly professional but completely approachable, and immediately likable. They have hit a magical spot where formal fine dining service feels comfortable, welcoming, and friendly. I also heard them jokingly tell the table behind us ""we're expecting to read some good Yelp reviews tomorrow"". :-) I like simple, traditional meals as much as the next person, and admit to sometimes being skeptical about molecular gastronomy. I now understand that the techniques used at Alinea aren't just for show: every dish uses the chef's mad scientist skills to invoke an emotion, bring back memories, and sometimes just make you laugh. If that isn't food for the soul, what is?"
17,"I dined at Alinea a few weeks ago with my son for his 25th birthday. He was quite excited to have scored tickets with their new ticketing system and on his birthday nonetheless! I had heard of Alinea a few years ago when they first opened and wondered what it was all about. My impression before going there was too expensive & ""weird"" food. Couldn't imagine eating that many courses. Well, what an amazing experience. I could only compare it to Charlie Trotter's where I dined a few months back. This blows Charlie's away. (Sorry Charlie) The restaurant doesn't have a sign out in front (liked that) & a nice young man greeted us & we entered. The hallway floor was real grass--real grass with a small set up with fresh lemonade. We were then led to our table. The restaurant has no music playing & is fairly modern but simple. They ask about allergies, wine pairings, etc and the experience begins. I won't go into detail on every course as there were simply too many & I frankly couldn't remember what they consisted of. But there was a seafood course served on a piece of driftwood that was to die for. Also, a mushroom dish on hot stones that was amazing as well. A summer salad of some sort with everything fresh (delicious). I can only remember disliking one dish & the little pieces of ginger they served on these little skewer things was just okay. The hot potato/cold potato & truffle explosion that I had heard of famously were also just amazing! The service was excellent and the waiters each one nicer than the next. The courses were spaced apart nicely but not too far apart or close together. They brought my son a special chocolate desert for his birthday compliments of the staff which was really nice (and no singing happy birthday!) The desert was amazing & then we had the privilege of having Chef Achatz serve us the famous white chocolate pinata himself! My son was awestruck & the expression on his face was priceless--well worth the price of the meal! So was this worth it? It most definitely was. Years back, I could never have imagined spending that much money on a meal. But, the way I look at it, many people spend comparable amounts on dinner & a concert, dinner & movie, drinks out, a night at the opera or theter, whatever it is you like--cigarettes, Starbucks, etc. This was a magical night with my son & one we will always remember......can't put a price on that."
18,"So, we were fortunate enough to score Sunday dinner reservations after the restaurant moved from its phone-based reservation system to the 'Next-like online ticketing system. I can honesty say that this was the pinnacle of dining experiences for me - that every fine dining establishment from this point forward will be judged against my experience. I'm not sure if this is fair, because Grant Achatz and team set an insanely high bar. Prior to dining at Alinea, literally an hour before, I finished reading Grant and Nick's autobiography 'Life on the Line'. I appreciated having the insight into the creative passion and love for food that drives Alinea staff. I'm also slated for a trip to San Francisco in the Fall and am very much looking forward to scoring (hopefully) reservations at The French Laundry, which had a huge influence on Chef Achatz. Fingers crossed that my redial finger make it through to the reservationists. Back to Alinea - We're not going course-by-course in this review, as I agree with many other Yelpers, that just simply ruins the experience. Although, I'm guessing that the Fall menu isn't too far from around the corner, which has me eager to go back for sure. From the time you check-in with the doorman to the moment you step through into the darkened, wedge-like hallway, your dinner begins and it doesn't stop for almost four hours. Every detail is meticulously considered and it shows - at the time I confirmed our reservations and any dietary restrictions or other notes of importance for the staff, I did not notify them that my other half was left handed. I didn't realize that was even a reason to make a special note, but at Alinea it is. Once they realized he was left handed, every course was situated and placed correctly in front of him. I know for some the ticketing system has been a nightmare (and the person who rated the restaurant one star based on her inability to get a reservation really irks me), but perseverance and patience will pay off. If you get a reservation or have the opportunity to make one - don't think about it, just do it, turn yourself over to Alinea staff and be prepared to be blown away."
19,"All of these reviews likely tell you the various ways and courses that Alinea is incredible. All the ""best meals of my life""s and culinary discourses. But, looking at the price tag and the difficulty in acquiring a table, you may still be asking yourself, ""Yeah...but is this just hype or is it Really Worth it?"" Let me answer that- IT IS. I could tell how every bite of every course was one of the best, most interesting, most surprising things I have ever eaten and how it has changed how I experience food and dining. I could tell you that the wine pairings were spectacular and pushed each course to yet another level. I could tell you that I was a little starstruck by Grant Achatz and wished I'd snuck in a photo of him creating the final course tableside for people close to us (if I hadn't being playing it ""I totally belong here"" cool and trying to keep the delivery of that course a surprise). I could also tell you that the service was formal but personable enough that when we had a 'hands free"" course that I was comfy enough to raise mine up ala on a rollercoaster or ""look, ma! no hands!"". I could tell you all of those things....but the fact that I was, mid-dinner, scheming how I could save up to come again, soon, may be all you need to hear from me."
20,"This is really the greatest restaurant I have been to in ...forever. For a truly special occasion, this is the place to have a great time. Those who give it 3 or less stars are not serious reviews. (Since 3 or less stars is just a0ok and 2 is i have had better..) It is unfortunate that some people had very specific bad experiences there but that is more of a rare occurrence from what i have read. Read any of the other 5 star review and you get the idea. IK have been to other chef tasting restaurants for about the same price and no other place match both presentation and taste. My wife and i came with 4 other people and every one of us was blown away by the quality and service. I could go on about the food and the service and the presentation, but there are so many reviews that articulate better than i would or could. This review is really to say that if you are on yelp undecided about this place, my answer is JUST GO!"
21,"Maybe I should have read reviews of this place before I went, but it was a bit too experimental for me. Here is an example of a dish we had: three pieces of well prepared lamb, with 60 possible sauces/herbs/fruits for you to choose to eat the lamb with. Did I seriously just drop almost $300 to compose my own dishes? I'm certainly no expert at doing this and definitely made some suboptimal choices. And do people really like the dessert where they drop things everywhere? It's a cool show but taste-wise, it was pretty far from the best desserts I've had. I have to give it 4*s because a few of the courses were among the best dishes I've ever had, in terms of taste and presentation. Some of my favorites, without going into too much detail for fear of ruining it for others, included an otoro course and a lobster/crab dish. Just know what your getting yourself into: it's much hype, not everything will be even close to the best things you've ever tasted, there won't be as much meat/seafood as courses at other restaurants (one course was only ginger), the reservation system where you buy your table in advance with no ability to change it at all is highly obnoxious and shows how pretentious these people are (no other top restaurants in the country do this). But the presentation of the food was by far the best I've ever experienced. So there are some things to cheer about."
22,"I have never worked this hard to get a reservation. Looking for a reservation for the first week of August, I started stalking the web site as soon as July rolled around. A seemingly endless series of cryptic promises and updates eventually culminated with the roll out of the new ""a la Next"" ticketing system. Fortunately a coworker caught the release as it was happening, and half an hour later I was sitting on tickets for a four top. But I was looking for a reservation for 3. Turns out thats not something that Alinea's new ticketing system can accommodate. Problem? Not at all. Turns out this is a heck of a popular place, so without much fuss, we were able to find a fourth to join us on our culinary adventure. Concerns about the awkwardness of spending 4 hours with a stranger were entirely unfounded. Its amazing how shared admiration for breathtaking food can bring people together.. At a price tag of $280 (sans drinks), this place had a lot to live up to. I am very happy to report that I think it was worth every penny. While there are plenty of fine dining establishments providing you with fine culinary fare, Alinea is providing you with a complete experience. Dinner and a show. I was surprised by the extent to which the restaurant made use of molecular gastronomy, but the bells and whistles added rather than detracted every time. Innovative techniques and ingredients came together in surprising and wonderful ways. I wont provide any details of how; I wouldn't want to ruin the surprise. Just go, and be prepared to have your mind blown."
23,"The best restaurant I have ever been to, hands down. Well above even the French Laundry."
